관리번호,시도명,시군구명,소재지도로명주소,소재지지번주소,택시전용정차면수,상세위치,데이터기준일자
1,부산광역시,금정구,부산광역시 금정구 중앙대로 2238,부산광역시 금정구 노포동 136,12,부산종합버스터미널 앞,2024-12-10
2,부산광역시,사하구,부산광역시 사하구 하신번영로 139,부산광역시 사하구 신평동 645-3,8,도시철도 1호선 신평역 앞,2024-12-10
3,부산광역시,사하구,부산광역시 사하구 낙동대로 401-1,부산광역시 사하구 당리동 325-6,5,사하구청 맞은편,2024-12-10
4,부산광역시,해운대구,부산광역시 해운대구 마린시티3로 52,부산광역시 해운대구 우동 1410-3,2,해운대 한화리조트 앞,2024-12-10
5,부산광역시,중구,부산광역시 중구 비프광장로 4,부산광역시 중구 남포동6가 110-1,7,서구청 맞은편,2024-12-10
6,부산광역시,북구,부산광역시 북구 낙동대로 1697,부산광역시 북구 구포동 1154-1,5,KTX 구포역 앞,2024-12-10
7,부산광역시,부산진구,부산광역시 부산진구 복지로 81,부산광역시 부산진구 개금동 633-192,2,개금백병원 앞,2024-12-10
8,부산광역시,연제구,부산광역시 연제구 종합운동장로 7,부산광역시 연제구 거제동 1208,7,홈플러스 아시아드점 앞,2024-12-10
9,부산광역시,기장군,부산광역시 기장군 철마면 반송로 1101,부산광역시 기장군 철마면 안평리 543-23,5,도시철도 4호선 안평역 앞,2024-12-10
10,부산광역시,북구,부산광역시 북구 낙동대로 1698,부산광역시 북구 구포동 1060-30,5,도시철도 3호선 구포역 앞,2024-12-10
11,부산광역시,남구,부산광역시 남구 전포대로 26,부산광역시 남구 문현동 383-1,3,문현 삼성힐타워 앞,2024-12-10
12,부산광역시,기장군,부산광역시 기장군 정관읍 정관7로 34,부산광역시 기장군 정관읍 매학리 717-8,5,다이소 부산정관신도지점 앞,2024-12-10
13,부산광역시,영도구,부산광역시 영도구 영선대로 98,부산광역시 영도구 영선동2가 175,3,동부산아이존빌 앞,2024-12-10
14,부산광역시,해운대구,부산광역시 해운대구 해운대로 100,부산광역시 해운대구 재송동 909-2,3,동해남부선 재송역 앞,2024-12-10
15,부산광역시,해운대구,부산광역시 해운대구 해운대로 584,부산광역시 해운대구 우동 641-4,4,해운대 부민병원 앞,2024-12-10
16,부산광역시,남구,부산광역시 남구 수영로 26,부산광역시 남구 문현동 363-1,6,문현 대림시티프라자 앞,2024-12-10
17,부산광역시,연제구,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,5,시청 시민광장 앞,2024-12-10
18,부산광역시,해운대구,부산광역시 해운대구 해운대로 875,부산광역시 해운대구 좌동 1453,5,해운대 백병원 앞,2024-12-10
19,부산광역시,해운대구,부산광역시 해운대구 해운대로 1147,부산광역시 해운대구 송정동 120-1,5,동해남부선 송정역 앞,2024-12-10
20,부산광역시,연제구,부산광역시 연제구 거제대로 123,부산광역시 연제구 거제동 676-1,4,동해남부선 겨제해맞이역 앞,2024-12-10
21,부산광역시,사상구,부산광역시 사상구 낙동대로 733,부산광역시 사상구 엄궁동 690,3,롯데마트 사상점 앞,2024-12-10
22,부산광역시,해운대구,부산광역시 해운대구 해운대로 813,부산광역시 해운대구 좌동 1467-4,3,NC백화점 해운대점 앞,2024-12-10
23,부산광역시,남구,부산광역시 남구 전포대로 97,부산광역시 남구 문현동 728-3,3,BIFC 앞,2024-12-10
24,부산광역시,기장군,부산광역시 기장군 일광읍 일광로 111-10,부산광역시 기장군 일광읍 이천리 750-4,3,동해남부선 일광역 앞,2024-12-10
25,부산광역시,기장군,부산광역시 기장군 기장읍 동부산관광5로 14,부산광역시 기장군 기장읍 당사리 261-8,10,동해남부선 오시리아역 앞,2024-12-10
26,부산광역시,기장군,부산광역시 기장군 기장읍 차성로288번길 86,부산광역시 기장군 기장읍 청강리 25-16,4,동해남부선 기장역 앞,2024-12-10
27,부산광역시,해운대구,부산광역시 해운대구 장산로 427,부산광역시 해운대구 좌동 132,4,동해남부선 신해운대역 앞,2024-12-10
28,부산광역시,해운대구,부산광역시 해운대구 반송로924번길 13,부산광역시 해운대구 반송동 40-529,3,반송시장 1공영주차장 맞은편,2024-12-10
29,부산광역시,강서구,부산광역시 강서구 신호산단2로 29,부산광역시 강서구 신호동 217,3,신호프라자 앞,2024-12-10
30,부산광역시,해운대구,부산광역시 해운대구 해운대로 820,부산광역시 해운대구 좌동 1491,3,도시철도 2호선 장산역 7번출구 앞,2024-12-10
31,부산광역시,금정구,부산광역시 금정구 중앙대로 2238,부산광역시 금정구 노포동 136,8,부산종합버스터미널 맞은편,2024-12-10
32,부산광역시,중구,부산광역시 중구 구덕로 58-1,부산광역시 중구 남포동5가 11-3,3,롯데리아 부산비프광장점 앞,2024-12-10
33,부산광역시,부산진구,부산광역시 부산진구 가야대로 538,부산광역시 부산진구 가야동 700,2,도시철도 2호선 동의대역 5번출구 앞,2024-12-10
34,부산광역시,부산진구,부산광역시 부산진구 가야대로 442,부산광역시 부산진구 개금동 487-2,2,도시철도 2호선 개금역 5번출구 앞,2024-12-10
35,부산광역시,사상구,부산광역시 사상구 광장로 46,부산광역시 사상구 괘법동 564-25,2,파라곤호텔 앞,2024-12-10
36,부산광역시,동래구,부산광역시 동래구 아시아드대로 232,부산광역시 동래구 온천동 1470,6,도시철도 3호선 미남역 4번출구 앞,2024-12-10
37,부산광역시,중구,부산광역시 중구 중앙대로 114,부산광역시 중구 중앙동4가 83-1,2,크라운하버호텔 앞,2024-12-10
38,부산광역시,남구,부산광역시 남구 분포로 113,부산광역시 남구 용호동 176-30,3,남부면허시험장 맞은편,2024-12-10
39,부산광역시,해운대구,부산광역시 해운대구 센텀동로 9,부산광역시 해운대구 우동 1498,2,신한은행 센텀금융센터 앞,2024-12-10
40,부산광역시,해운대구,부산광역시 해운대구 마린시티1로 51,부산광역시 해운대구 우동 1409-3,3,마린시티 파크하얏트호텔 앞,2024-12-10
41,부산광역시,서구,부산광역시 서구 구덕로 170,부산광역시 서구 토성동3가 11-3,4,토성역 3번출구 앞,2024-12-10
42,부산광역시,서구,부산광역시 서구 보수대로 15,부산광역시 서구 토성동1가 51-1,3,충무동 새벽시장 앞,2024-12-10
43,부산광역시,서구,부산광역시 서구 충무대로 246,부산광역시 서구 남부민동 685,4,한국전력공사 남부건설본부 앞,2024-12-10
44,부산광역시,연제구,부산광역시 연제구 명륜로2번길 7,부산광역시 연제구 거제동 36-8,3,파리바게트 교대점 앞,2024-12-10
45,부산광역시,동래구,부산광역시 동래구 중앙대로 1393,부산광역시 동래구 온천동 502-3,3,동래 롯데마트 앞,2024-12-10
46,부산광역시,해운대구,부산광역시 해운대구 명장로67번길 86,부산광역시 해운대구 반여동 1167-10,5,센텀sk뷰 102동 뒤,2024-12-10
47,부산광역시,해운대구,부산광역시 해운대구 해운대로 762,부산광역시 해운대구 중동 1762,4,오산공원 체육시설 앞,2024-12-10
48,부산광역시,사하구,부산광역시 사하구 다송로 17,부산광역시 사하구 다대동 86-7,3,다대 롯데캐슬블루 101동 앞,2024-12-10
49,부산광역시,사상구,부산광역시 사상구 사상로 201,부산광역시 사상구 괘법동 533-1,5,서부시외버스터미널 애플아울렛 앞,2024-12-10
50,부산광역시,사상구,부산광역시 사상구 사상로 201,부산광역시 사상구 괘법동 533-1,10,서부시외버스터미널 버스 출입구 옆,2024-12-10
51,부산광역시,해운대구,부산광역시 해운대구 APEC로 55,부산광역시 해운대구 우동 1500,3,벡스코 오디토리움 앞,2024-12-10
52,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 163,부산광역시 해운대구 우동 1432,2,현대베네시티 아파트 앞,2024-12-10
53,부산광역시,기장군,부산광역시 기장군 기장읍 읍내로 102,부산광역시 기장군 기장읍 동부리 486,4,기장시장 인근,2024-12-10
54,부산광역시,기장군,부산광역시 기장군 정관읍 구연3로 17,부산광역시 기장군 정관읍 매학리 751-2,5,두텁삼 앞,2024-12-10
55,부산광역시,기장군,부산광역시 기장군 정관읍 구연3로,부산광역시 기장군 정관읍 매학리,6,두텁삼 맞은편,2024-12-10
56,부산광역시,연제구,부산광역시 연제구 거제대로 123,부산광역시 연제구 거제동 676-1,3,동해남부선 거제해맞이역 앞 정류소,2024-12-10
57,부산광역시,해운대구,부산광역시 해운대구 해운대로  625,부산광역시 해운대구 우동 524-12,3,구 해운대역 인근,2024-12-10
58,부산광역시,사하구,부산광역시 사하구 낙동대로 453,부산광역시 사하구 하단동 618-3,2,부산아동맘병원 인근,2024-12-10
59,부산광역시,연제구,부산광역시 연제구 과정로 314,부산광역시 연제구 연산동 309-9,3,농축산마트 연산점 앞,2024-12-10
60,부산광역시,동래구,부산광역시 동래구 중앙대로 1324,부산광역시 동래구 온천동 514-2,5,도시철도 1호선 동래역 인근,2024-12-10
61,부산광역시,북구,부산광역시 북구 낙동대로1780번길 106,부산광역시 북구 구포동 654-11,4,북부산농협 인근,2024-12-10
62,부산광역시,북구,부산광역시 북구 금곡대로 160,부산광역시 북구 화명동 941-1,3,도시철도 2호선 수정역 1번출구 인근,2024-12-10
63,부산광역시,금정구,부산광역시 금정구 중앙대로 2107,부산광역시 금정구 청룡동 47,1,도시철도 1호선 범어사역 인근,2024-12-10
64,부산광역시,사하구,부산광역시 사하구 다대낙조2길 100,부산광역시 사하구 다대동 1624,3,몰운대아파트 인근,2024-12-10
65,부산광역시,기장군,부산광역시 기장군 정관읍 정관로 350,부산광역시 기장군 정관읍 모전리 730,10,이지더원3차 아파트 305동 앞,2024-12-10
66,부산광역시,해운대구,부산광역시 해운대구 센텀동로 6,부산광역시 해운대구 우동 1499,3,홈플러스 아시아드점 앞,2024-12-10
67,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,부산광역시 해운대구 좌동 1396,3,좌동 대림1차 아파트 앞,2024-12-10
68,부산광역시,연제구,부산광역시 연제구 중앙대로 1196,부산광역시 연제구 거제동 42-3,3,동해남부선 교대역 11번출구 인근,2024-12-10
69,부산광역시,부산진구,부산광역시 부산진구 전포대로 181,부산광역시 부산진구 전포동 870-1,3,도시철도 전포역 3번출구 앞,2024-12-10
70,부산광역시,금정구,부산광역시 금정구 중앙대로1841번길 24,부산광역시 금정구 구서동 368,4,이마트 금정점 앞,2024-12-10
71,부산광역시,수영구,부산광역시 수영구 광안해변로 418,부산광역시 수영구 민락동 108-1,3,센텀비치푸르지오 앞,2024-12-10
72,부산광역시,수영구,부산광역시 수영구 광안해변로 386,부산광역시 수영구 민락동 110-8,2,민락롯데캐슬자이언트 앞,2024-12-10
73,부산광역시,서구,부산광역시 서구 구덕로 308,부산광역시 서구 동대신동2가 368-1,2,도시철도 1호선 동대신역 1번 출구 앞,2024-12-10
74,부산광역시,북구,부산광역시 북구 금곡대로 224,부산광역시 북구 화명동 1150,3,팔방공인중개사 사무소 앞,2024-12-10
75,부산광역시,북구,부산광역시 북구 백양대로 1195,부산광역시 북구 구포동 147-7,3,구포새마을금고 구포시장지점 앞,2024-12-10
76,부산광역시,기장군,부산광역시 기장군 철마면 고촌로 58,부산광역시 기장군 철마면 고촌리 668,3,고촌LH3단지아파트 앞,2024-12-10
77,부산광역시,사하구,부산광역시 사하구 낙동대로 141,부산광역시 사하구 괴정동 319-4,1,도시철도 1호선 대티역 1번출구 앞,2024-12-10
78,부산광역시,해운대구,부산광역시 해운대구 반여로 133,부산광역시 해운대구 반여동 1619,2,센텀롯데캐슬1차 앞,2024-12-10
79,부산광역시,해운대구,부산광역시 해운대구 양운로37번길 11,부산광역시 해운대구 좌동 1337,2,해운대 현대아파트 101동 앞,2024-12-10
80,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 351,부산광역시 해운대구 좌동 1452,2,해운대 와우공원 앞,2024-12-10
81,부산광역시,기장군,부산광역시 기장군 일광읍 일광로 101,부산광역시 기장군 일광읍 삼성리 27-4,5,화전약국 앞,2024-12-10
